0,1,2,3,4,5,6
2018-11-19-20-28-02_mix,363.046932220459,495.46241760253906,795.369815826416,774.9815368652344,0.927997887134552,1.0
2018-11-19-20-28-02_mix,379.88525390625,772.5384521484375,808.520622253418,1013.8369750976562,0.9053528904914856,2.0
2018-11-19-20-28-02_mix,354.32899475097656,242.52784729003906,796.1398315429688,494.99305725097656,0.8526275157928467,2.0
2018-11-19-20-28-02_mix,118.2764482498169,690.0798034667969,373.4145927429199,1039.8782348632812,0.8062655925750732,2.0
2018-11-19-20-28-02_mix,106.65686130523682,244.95285034179688,357.47777938842773,703.5259246826172,0.8041192293167114,2.0
2018-11-19-20-49-25_mix,352.45737075805664,790.465087890625,788.5285377502441,1036.8565368652344,0.9407817125320435,2.0
2018-11-19-20-49-25_mix,117.192063331604,675.0388336181641,354.59672927856445,1037.2504425048828,0.8589796423912048,2.0
2018-11-19-20-49-25_mix,117.1931505203247,246.63158416748047,371.3385200500488,686.5097045898438,0.8435478806495667,2.0
2018-11-19-20-49-25_mix,376.7178153991699,252.79699325561523,788.3804512023926,541.3809204101562,0.8351898193359375,1.0
2018-11-19-20-49-25_mix,351.59311294555664,533.6386108398438,787.104434967041,797.2395324707031,0.7922075986862183,1.0
2018-11-19-20-46-22_mix,97.61711597442627,509.5890808105469,550.788516998291,785.2249145507812,0.9596668481826782,1.0
2018-11-19-20-46-22_mix,360.2157211303711,786.0587310791016,781.3285446166992,1029.2353057861328,0.9555237293243408,2.0
2018-11-19-20-46-22_mix,374.7960662841797,272.8308868408203,788.3266067504883,542.1624755859375,0.8744881749153137,2.0
2018-11-19-20-34-00_mix,373.18090438842773,511.3390350341797,803.9175224304199,750.5027770996094,0.9512919783592224,2.0
2018-11-19-20-34-00_mix,128.31403255462646,597.1009063720703,379.46582794189453,1044.0665435791016,0.8901031613349915,2.0
2018-11-19-20-34-00_mix,355.332670211792,234.0618896484375,790.9999465942383,517.9350280761719,0.8701075911521912,1.0
2018-11-19-20-34-00_mix,378.8564872741699,748.2846069335938,814.5709419250488,1010.9902954101562,0.6026842594146729,1.0
2018-11-19-21-00-11_mix,496.93233489990234,231.65945053100586,760.9961700439453,688.4933471679688,0.8509798645973206,1.0
